  ROEt    ATO     PM    LEV GROWTH      PB    ARR    INV  ASSET    ROE
-0.261  1.138  0.248  3.430  2.222  -2.898  0.354  0.038 22.312  0.943
-1.149  0.094 -0.005  0.341  1.966   2.856  0.347  0.068 19.020 -0.852
 0.914  0.388  0.104  7.335 -0.551  14.580 -0.281  0.032 21.231  0.984
-0.481  0.002 -0.088  2.417  0.169   4.728  2.024  0.141 21.487 -0.197
 0.055  0.296  0.451 -4.011 -0.564  -1.020 -1.287 -0.124 19.824  0.572
 0.406  0.364  0.506  2.032  0.615  12.251 -1.107 -0.180 21.845  1.006
 0.450 -0.657  0.475  3.982  0.307  17.524 -0.317  0.148 21.394  0.753
 0.287  0.461  0.336 -1.697 -1.423  -6.257  0.716 -0.061 19.977  0.698
 0.373  0.523  0.065  7.141  1.273  22.143  0.615  0.243 20.248  0.763
 0.002  0.691 -0.040  4.862 -1.582  18.779  0.087  0.038 21.291  0.451
 0.113  0.706 -0.009 -0.379 -0.105  -7.128  1.434 -0.174 20.950  0.857
-0.325  0.212  0.159  2.104 -0.051   7.328  0.250  0.211 20.572  0.117
 0.726  0.566  0.040  2.925 -0.047   2.581  0.666  0.201 19.603  1.162
 0.062  0.396 -0.110  3.864  5.193   4.580  1.335  0.037 21.222 -0.029
 0.088 -0.313  0.252  5.883 -2.730   9.561  0.697  0.209 22.556  0.122
-0.185  0.486  0.109  2.430  1.478   6.280 -0.190  0.072 22.505 -0.124
 0.797  0.670  0.361  2.706 -4.361   2.779  0.734  0.061 21.012  0.322
 0.408 -0.139  0.335 -0.924 -2.230   1.540 -0.139  0.233 20.592 -0.173
 0.404  0.561  0.487 -4.824 -1.642 -12.204 -0.654  0.197 22.606  0.105
-0.172  0.001  0.584  1.213  2.101  13.424 -0.947  0.075 20.094  0.061
-0.604  0.919 -0.074  5.627 -0.371   0.528  1.551  0.313 20.682 -0.213
-0.506  0.033  0.490 -0.587  1.820  14.567 -0.112  0.156 20.763  0.841
 0.346  0.139  0.240 -0.317  3.362 -15.207 -0.335  0.081 22.342  1.304
-0.751  1.134 -0.084 -0.938 -2.732  -0.152  2.140  0.285 20.539 -0.032
-0.178  0.204  0.369  0.179  0.804  -1.615  0.132  0.212 20.562  0.461
 0.158  0.738  0.273  4.186 -1.281   2.731  0.805  0.090 20.087  0.109
-0.056 -0.251  0.127 -0.097 -2.879 -10.698  0.813 -0.052 22.683  0.193
 0.203  0.593  0.687 -3.587  2.233  -0.703  0.669  0.169 20.426  0.660
-1.033  0.228  0.239 -4.103  0.618  -0.377  0.289 -0.038 20.725  0.403
 0.615  0.186 -0.027  2.933  1.207  -3.623  2.024  0.152 21.209  0.334
 0.836  0.380  0.142  5.001  0.270  11.762 -0.231  0.145 21.622  0.888
-0.972 -0.091  0.131  5.811  2.885   7.045  0.394  0.078 20.501 -0.553
-0.394  0.795  0.202 -1.027 -2.936   6.371  1.718  0.016 21.504  0.466
 0.058 -0.104  0.467 -2.030 -1.106 -18.356 -1.863  0.074 22.855  0.653
 0.122  0.545  0.103  4.175  4.218   1.779 -0.014  0.125 21.605  0.799
-0.552  0.703  0.443 -0.206  3.059   4.493  0.684 -0.051 20.550 -0.488
 0.218  0.250  0.290  0.445  2.812  10.258 -0.247  0.168 20.482  0.896
 0.153  0.784 -0.011 -0.146 -1.133   1.194  0.244  0.302 20.835  0.029
-0.299  0.295  0.215 -0.721  0.312   5.194  0.197  0.184 20.984  0.098
-0.456  1.090  0.455 -0.106  2.294   8.670 -0.742  0.086 19.559  0.494
 0.512 -0.413  0.232  2.736 -0.028  -0.510 -0.465  0.094 21.014  0.204
 0.333  0.877  0.027 -4.567 -1.687  -9.765  0.706  0.000 21.522  1.062
-0.038  0.509  0.235 -2.910  0.274 -17.281  1.234  0.120 22.398  0.210
 0.104  0.041  0.645 -6.131 -1.045 -17.778  1.386  0.170 20.203  1.234
 1.127  0.267  0.341  2.229 -3.305   0.383 -0.500  0.129 22.504  0.449
 0.422  1.010  0.112  0.126 -0.548  -0.837 -0.780  0.174 21.896  0.739
-0.041 -0.020 -0.033  1.116  2.098  -5.388  0.453  0.145 21.352  0.171
 0.642  0.385  0.369 -1.073  0.240  -6.594 -0.382  0.182 21.115  0.118
-0.764  0.546 -0.038 -0.747  0.858 -18.298 -0.710  0.162 21.237 -0.270
-0.442  0.665  0.127 -1.219  1.001  -6.381 -0.564  0.144 20.879  0.572
 0.393  0.398  0.193  4.154  2.801  -3.690 -0.878  0.282 21.823  0.792
 0.689  0.042  0.169  0.272 -0.186  -4.284  0.968  0.005 21.618  0.951
 0.173  0.338  0.322 -0.037 -3.331  -3.854 -0.234 -0.029 21.303  0.606
-0.274 -0.259  0.029  1.439  3.862   6.712  0.890  0.003 21.343  0.257
 0.363 -0.110  0.409  3.983 -2.049  18.742 -0.931  0.256 20.026  0.633
 1.257  0.328  0.077 -5.102  2.744  -6.893  0.074  0.021 21.124  1.471
-0.623 -0.467  0.186 -0.252 -1.195  -7.121 -0.862 -0.113 20.040  0.133
 0.190  0.312  0.139  2.348 -0.787   8.344  1.872 -0.191 20.755  0.643
-1.001  0.192  0.127  2.899  0.555   8.832  3.162 -0.090 21.647 -0.136
 1.174 -0.095  0.320  1.503  0.993  -8.270  1.128  0.172 21.355  0.471
 0.700 -0.457  0.278 -5.023 -0.491 -12.875  1.024  0.095 21.867  0.381
 0.772  0.048 -0.047 -2.593 -2.328  -7.361  0.304  0.207 22.962  0.577
 0.438  1.041 -0.060  1.060 -0.249  10.459  1.143  0.295 19.020  0.212
 0.848  0.805  0.248  0.082 -2.141   3.855 -0.665  0.039 20.076  0.531
 0.093  0.494  0.100  4.392  1.209  14.608  0.443  0.068 20.840  0.633
-0.810  0.656 -0.035  7.025  0.960   6.558  1.063  0.066 20.808 -0.471
 0.480  0.166  0.182  4.084 -0.905  14.906  1.177  0.242 20.636  0.301
-0.641 -0.187 -0.175  4.953  0.174  18.795  0.149  0.057 21.744 -0.365
-0.681  1.466  0.185  3.221 -0.514  18.321 -2.011  0.059 21.086  0.072
 0.206 -0.107  0.572 -1.805  0.899  -4.462 -1.052  0.116 19.679  0.868
-0.022  0.667  0.267  1.303 -1.163  11.202 -0.432  0.100 20.050 -0.017
-0.165  1.042  0.253 -1.519  0.729   4.270 -0.085  0.161 20.190  0.501
 0.150 -0.158  0.180  0.511 -1.109  -8.342  0.192  0.004 21.570  0.727
 0.195  0.602  0.266 -3.822  0.484  -3.560  0.196  0.131 21.106  0.567
-0.410  0.059 -0.148  1.522 -2.469  -2.754  1.400  0.159 19.647 -0.041
 0.099  0.186  0.245 -0.320 -2.119   6.357  0.012  0.251 19.442  0.395
-0.273  0.194  0.401  3.276 -1.335   1.033  0.143 -0.096 20.021  0.125
-0.096 -0.167  0.280  1.369 -2.198   6.990  0.296  0.199 19.946  0.452
 0.785  0.638  0.319  2.134 -5.216   9.766 -0.664  0.229 20.830  0.748
 1.004  0.066  0.333  0.656 -0.378   2.876 -0.360  0.245 20.480  0.591
 0.680  0.624  0.161 -1.052  2.112  -3.677  0.870 -0.064 21.811  1.003
 0.950  0.388  0.394  1.001 -1.246   0.264 -1.754 -0.115 21.074  1.277
-0.148 -0.058  0.196  4.176  1.401  -0.832  0.734 -0.082 19.902  0.274
 0.321  0.071  0.315 -2.195 -1.309  -1.200  0.001  0.214 21.931  1.210
 0.958 -0.918  0.576 -3.259  0.743   4.890  1.217 -0.066 21.835  0.979
 0.476  1.061  0.221 -0.109 -0.372   8.501  0.334  0.042 19.799  0.850
 0.546  0.350  0.522 -3.573  1.747  -7.205 -0.153  0.130 19.913  0.068
 0.146  0.303  0.218  5.908 -3.707  22.830 -0.828  0.125 20.368  0.084
-0.111 -0.108  0.250  0.924  3.311   3.935  1.553  0.117 20.044  0.635
 0.204  0.850  0.236 -2.065  1.668  -4.820  0.028  0.188 20.825  0.326
 0.143  0.692  0.325 -0.431  1.386  -3.455  0.280 -0.044 21.467 -0.061
 0.824 -0.065  0.281 -4.962 -0.104 -13.958  1.212 -0.017 21.082  0.735
-0.027 -0.238  0.219 -0.709 -2.116  -6.244  0.428  0.031 21.783  0.586
-0.304  0.947  0.208  1.918  4.219  -3.460  0.691  0.184 21.360  0.246
-0.429  0.065  0.156  2.792  2.211   7.343  0.754  0.244 21.810  0.157
 0.349  0.404  0.429  4.407  3.614  20.009 -0.002  0.027 21.960  0.953
-0.311  0.004  0.177  3.388 -2.005   0.420  0.456 -0.016 21.531 -0.570
 0.138  0.233  0.124 -3.473  0.393 -18.468  0.230 -0.055 21.105  0.121
-0.812  0.456  0.434  7.174 -0.732  25.161 -0.007 -0.090 20.942 -0.755
 0.988  0.122  0.361 -2.961  2.571   5.456 -1.267  0.125 21.275  1.106
-0.351  0.135  0.089  3.368  4.358   9.701  1.729  0.042 19.278  0.361
-0.433  0.560  0.206 -5.237  2.009 -20.816  0.636  0.082 20.655  0.598
 0.085  0.394  0.108  1.478  0.390  22.824  1.095 -0.057 20.299  0.957
 0.701 -0.159  0.491 -2.069  2.471 -17.580  0.277  0.039 20.507  0.585
 0.355  0.284  0.342  5.575 -1.459  14.045 -0.720  0.117 21.652  0.356
-0.127  0.164  0.530 -1.339 -0.112  -5.252 -0.015 -0.127 22.347  0.210
-0.173  0.942 -0.086 -0.086 -0.166   2.653  1.442  0.192 20.032 -0.128
 0.197  0.941  0.093 -3.885 -0.791  -7.089  0.948 -0.054 21.478  0.467
 0.330  0.624  0.058 -2.573 -1.302  -7.413  1.024  0.244 21.810  0.259
-0.003  0.072  0.174 -1.131 -2.481  -4.700  0.579  0.166 19.973  0.557
 0.176  0.470  0.154  5.591  1.631  15.108  0.355  0.167 21.925  0.216
-0.311  0.552  0.101  1.897 -0.505  -1.402 -0.373  0.173 21.873 -0.249
 0.051 -0.225  0.137 -0.353  1.362   2.457 -1.173  0.280 20.677  0.948
-0.147  0.670  0.133 -5.188 -2.138 -12.000 -0.085 -0.083 22.676 -0.148
 0.187 -0.058  0.171  1.656  1.944   8.631  1.949  0.142 20.551 -0.105
-0.148 -0.102  0.122 -0.517 -1.703  -7.244 -0.859 -0.002 23.414  0.833
 0.340  0.829  0.136  5.263 -2.392  16.862  1.199  0.073 21.990  0.835
-0.362  1.237  0.104  7.077 -5.792  16.846 -0.487  0.250 21.551  0.014
 1.031  0.345  0.390 -4.375 -3.012  -6.746 -1.458  0.161 20.727  0.391
 0.571  0.425  0.292 -7.540 -4.013  -2.105  0.670  0.114 19.275  1.028
 0.177  0.327  0.058 -1.648  0.986 -10.572  0.528  0.226 21.695  0.490
 0.699  0.302  0.399  0.986  0.607   7.278 -0.538 -0.024 21.519  0.917
 0.709  0.372  0.403 -0.955  0.609   0.394 -0.738  0.300 21.509  1.331
 0.413  0.949  0.151 -2.540 -1.599 -11.577  0.702 -0.021 20.853  1.010
 0.531 -0.258  0.287 -0.438  0.047   8.845 -0.261  0.076 21.037  0.386
-0.048  0.434  0.207  2.340  2.715   6.539 -0.194  0.403 20.772 -0.038
 0.131  0.594  0.007  2.665  0.118  10.151  1.747  0.012 21.215  0.699
 0.066  1.679 -0.029 -0.747  1.926  -3.946 -1.011  0.215 21.923  0.019
 0.423 -0.214  0.131  3.855  0.614  13.114  1.459  0.047 20.930  0.724
-0.418  0.264  0.131 -2.558  1.933  -4.407  1.629  0.132 21.124  0.121
-1.390  0.167  0.322  1.869  1.452  10.511 -0.776  0.125 20.644 -0.903
-0.689  0.789  0.388  3.180  0.950   6.432 -0.710 -0.009 21.153  0.778
 0.164  0.773  0.178 -2.201 -1.495   7.083  0.801  0.057 20.958  0.566
-1.157 -0.300  0.310  1.506  1.766   3.744  0.512  0.008 19.526 -0.059
 0.246  0.717  0.370  0.459 -4.089  -1.661  0.455  0.028 21.976  0.675
-0.022  1.091 -0.253  0.587  1.897   9.936  2.511  0.152 21.147  0.474
 0.430  0.426  0.423 -0.855  0.318  -2.178 -0.264 -0.019 21.870  0.712
 0.134  0.295  0.326  0.558  2.323   1.985  0.443 -0.061 21.369  0.202
 0.504  0.478  0.090  2.186 -0.772  -0.355 -0.139  0.006 22.158  0.918
 0.468  0.469  0.530  2.447  1.906   7.627  0.383 -0.004 21.185  0.667
-0.242  1.341 -0.002 -1.297  2.692   5.939  0.530 -0.053 20.525  0.096
 0.372  0.899  0.362 -1.750  1.310 -15.880 -1.104  0.103 20.736  0.978
-0.221 -0.215  0.100  6.281 -3.525  24.193  1.066  0.247 20.438  0.227
 0.993  0.381  0.095  5.375  2.181  15.662  1.582  0.133 21.679  0.148
-0.737 -0.287  0.315  2.934  4.174   6.844  0.783  0.279 20.469 -0.496
 0.151  0.950 -0.099 -3.728 -3.056  -8.288  0.540  0.141 21.699  0.469
-0.249  0.304  0.435  5.027  1.952  14.446 -0.670  0.261 22.062 -0.607
-0.001  0.168  0.315  3.032 -1.085   5.605 -1.912  0.105 21.265 -0.267
-0.268  0.400  0.091 -0.702 -2.924  -3.289  0.228 -0.084 21.881  0.016
 0.818  0.366  0.241 -0.489  4.220  -5.081  1.337  0.004 22.247  0.748
 0.567  0.604  0.146 -5.953  0.369 -14.546 -0.976  0.103 21.490  0.834
-0.122  0.259  0.407 -2.449  0.037  -3.899 -0.246  0.046 20.684  0.198
 0.119  0.761  0.325 -0.686  0.305   2.577  1.593 -0.165 20.823  0.003
 0.441  0.658  0.183  2.604  3.369  -0.745 -0.460  0.005 22.896  1.244
-0.054  0.145  0.183  2.275  2.759  15.879  1.476  0.032 20.484  0.240
-0.087  0.563 -0.026  5.315 -4.021  16.371  0.847 -0.164 20.042 -0.057
 0.202  0.956  0.110  1.106 -1.817  -7.919 -0.453  0.040 20.529  0.440
-0.417 -0.112 -0.092  9.362 -0.296  25.174  1.751 -0.074 20.275 -0.266
 0.163  1.582  0.013  1.275  0.246   5.860  0.568  0.190 21.291  0.606
 0.266  0.627  0.438  0.487 -1.274  -2.706  0.124  0.105 21.125  1.052
 0.055  0.979  0.116  0.847  1.071  -7.346 -0.371  0.185 22.215  1.040
 0.492  0.753  0.139  3.341  1.742   4.360 -0.064 -0.060 20.190  1.238
-0.298  0.275  0.132  4.447  0.742   7.620  0.553  0.093 19.789  0.425
 0.742  0.438  0.113 -2.953  0.632 -12.337  0.070  0.180 21.051  1.295
 0.616  0.125  0.506 -3.083 -0.882  -5.219 -0.577  0.104 21.728  1.608
 0.125  0.228  0.377  5.888  6.092  15.436 -1.832  0.234 21.678  0.258
-0.675  0.854 -0.038  2.530  0.451   7.419  0.569  0.178 19.947 -0.058
-0.215  0.443  0.060  0.917  0.857  14.689 -1.151  0.083 20.742  0.276
 0.540  1.035  0.252  2.734 -0.530   7.108  1.548 -0.077 21.048 -0.031
-0.203  0.516  0.069  2.037  2.176   9.902 -0.026  0.246 22.228  0.438
 0.128  0.546  0.331 -3.743  2.321 -13.929  0.446 -0.009 21.775  0.385
 0.508  1.114 -0.056 -0.534  3.109  -4.758  0.565  0.200 21.925  0.102
-0.684 -0.101  0.266  2.669  1.102  12.171 -0.379  0.150 20.355  0.290
 0.295 -0.431  0.269  2.059  0.105  -1.743  1.329 -0.097 20.045 -0.446
-0.533  0.879  0.493  0.664  4.411   2.529 -1.534 -0.069 20.666  0.835
 0.192  0.684 -0.064 -0.871  2.552   2.681  0.444 -0.098 20.608  0.697
-0.371 -0.148  0.283  1.504  3.391   0.356 -0.779 -0.018 20.469 -0.151
 1.010  1.020  0.274 -0.255  2.383  -5.957 -1.211  0.213 20.485  0.942
 0.047  0.049  0.257 -0.091  1.073   2.223  0.758  0.164 22.026  0.413
 0.337  0.543  0.175  1.122 -1.446   4.372  0.665  0.144 21.007 -0.072
-0.132 -0.211  0.543  2.093  0.735  -0.837  0.023 -0.037 22.409  0.296
-0.755  0.954  0.041  5.800  1.654  11.842 -0.577  0.261 21.811  0.348
 0.320  0.243  0.278  7.840 -3.412  17.877 -0.189  0.105 22.096  0.462
 0.476  0.489  0.237 -4.075  1.030  -8.543 -2.212 -0.137 21.495  1.053
 0.390  0.672  0.294  0.617 -1.838  -4.137  0.647  0.230 19.729  1.038
 0.198  0.586  0.172  1.613  0.834  -1.564  0.762  0.162 21.473  1.076
 0.378  0.712  0.175  1.992  2.455   4.530 -0.021  0.095 20.964  0.097
-0.139  0.478  0.368 -0.146 -1.047  -0.676 -1.078  0.176 21.650 -0.422
-0.214  0.694  0.410  6.909 -0.522  27.022 -1.510 -0.165 21.733  0.291
 0.442  0.376  0.031  0.145 -0.308   7.775  0.551 -0.089 21.032  0.313
 0.050  0.464  0.481  2.107  0.928   7.755 -1.218  0.185 21.633  0.728
 0.105  1.044  0.069 -1.015  0.262  -6.119  0.301  0.190 20.815  0.504
-0.946  0.548 -0.082  1.430 -1.048   0.565  1.432  0.388 21.044 -0.100
-0.209 -0.312  0.424  0.640 -2.395   6.785 -0.868  0.145 20.518  0.328
-0.121  0.346 -0.024  3.882  1.547   8.123  2.136  0.119 21.083  0.221
 0.251 -0.254  0.326  0.415  2.341   5.696 -0.962  0.325 21.135  0.378
-0.261  0.240  0.357  3.531 -1.246  11.317  0.808  0.085 20.627 -0.067
-0.062 -0.349  0.352  0.973  0.038  -0.911  1.256 -0.119 21.835  0.596
 0.097  1.398  0.156  1.698  1.903   3.885 -1.200  0.225 21.738  0.578
-0.508  1.003 -0.009  2.075  4.715  12.690  0.602  0.281 20.881 -0.471
 0.778  0.169  0.270 -3.685 -1.389 -18.129  1.057  0.218 20.854  1.030
-0.670  1.584  0.054 -0.503  2.419  -2.754  0.903  0.148 20.664  0.151
-0.332  0.307  0.290  4.592 -0.173   7.843  2.091  0.262 21.867  0.168
-0.365  0.183  0.065 -2.742  2.488  -6.998  0.068  0.189 22.459  0.282
 0.235  0.049  0.081 -2.608  0.771  -9.141  1.279 -0.082 22.744 -0.247
 0.595  0.200  0.339 -0.687 -2.508   3.130 -0.267  0.081 20.798  0.466
 0.528  0.446  0.173  0.145 -0.567   3.704  0.243  0.260 20.479  1.095
-0.449  0.740 -0.014  6.982  0.043  32.591  0.992 -0.141 20.325 -0.478
-1.185  1.046  0.085  7.065 -0.839  13.218  0.192  0.210 22.315 -0.486
 0.842  0.211  0.381 -6.148  1.031  -4.983  1.264  0.184 19.698  0.455
-1.193  0.782  0.011  5.469 -0.684  16.689  2.092  0.196 20.041 -1.161
 0.160  0.612  0.194  2.968 -1.735   7.542  0.805  0.189 21.394 -0.367
 0.431  1.029 -0.009  0.269 -0.321  -2.013  0.395  0.174 22.900  0.811
 0.311  0.201  0.464  3.275 -0.135   5.625  0.635  0.026 20.902  0.375
-0.671  0.187  0.135  0.714 -0.060   3.871  0.859  0.194 19.663 -0.255
-0.377  0.187  0.295 -1.840 -2.926  -4.289 -0.080  0.098 20.765  0.125
 0.060  0.481  0.250  2.574 -0.454   1.883 -0.080  0.182 20.946  0.908
 0.793  0.442  0.385 -3.851 -1.423  -9.545 -2.601  0.071 21.230  0.969
 0.601  0.518  0.213  1.192 -0.651   0.161 -0.453  0.056 21.782  0.846
 0.096  1.027  0.082 -2.049 -3.375  -7.910 -0.233  0.249 21.713  0.878
-0.762  1.041  0.045 -0.546  3.500  -2.824  0.647  0.259 18.629 -0.286
 0.066  0.714 -0.178 -3.980  2.383   4.216 -0.271  0.010 19.392  1.267
-0.582  0.989  0.107 -6.843  1.650 -12.715  0.462 -0.005 21.159  0.301
 0.032 -0.028  0.365  1.225  2.102   1.109  0.914  0.120 22.958 -0.423
-0.069 -0.430  0.306  3.291  0.825  10.760  1.120  0.340 20.494 -0.362
-0.749  0.961  0.332 -2.016  4.505  -8.801  0.835 -0.010 21.612  0.445
-0.231  0.616  0.473 -0.543 -1.214   7.128 -0.547  0.064 20.921  0.116
-0.059  0.643 -0.052  1.449  3.012   3.939  0.471  0.159 20.227  0.896
-0.805  0.393  0.200 -0.612 -0.651   5.991  0.178  0.296 20.561 -0.532
 0.141 -0.512  0.196 -3.100 -2.457  -6.792  1.616 -0.031 21.132 -0.007
-0.090  0.123  0.107  6.329  1.557  18.109  0.995  0.113 21.124 -0.007
-0.509  1.048  0.058  3.937  0.467   1.872  0.988  0.037 22.303 -0.168
-0.047  0.205  0.224  2.762  1.739   8.945 -1.259  0.254 19.697 -0.135
-0.049  0.112  0.118  0.320 -0.300  -8.251 -0.913  0.353 20.276  0.726
 0.792 -0.166  0.165 -0.290  0.617  -8.038  1.177  0.074 20.848  0.586
 0.024  1.166 -0.110 -5.832 -0.422 -10.874  0.921  0.097 20.669  0.691
 0.166 -0.561  0.227 -0.351 -2.337   1.496 -0.305 -0.042 21.700  0.708
 0.128  1.107  0.205 -0.247 -1.022   3.342 -0.930  0.018 20.596  0.448
-0.114  0.939  0.108  2.943  1.551  -3.554  1.384  0.233 22.942  0.428
 0.056 -0.563  0.314  8.822 -2.248  21.715  0.732  0.095 20.813 -0.177
-0.510  0.317  0.279 -1.301 -1.261   3.593  0.941  0.191 19.861  0.212
-0.120  0.561  0.529  5.808  5.654   6.629 -1.628  0.194 20.263  0.637
 0.086  0.851  0.586 -3.371  0.850  -6.217 -0.670  0.226 21.178  0.011
-0.693  0.742  0.428  3.949 -0.696  20.690 -2.407  0.190 20.181 -0.299
 0.612  0.606  0.220  2.315 -1.766   6.976 -0.224  0.079 20.068  0.412
 0.080  0.387  0.408  1.621 -2.548   2.297  0.975 -0.046 20.971  0.330
 0.402  1.531  0.073  2.541  0.063  12.460 -0.313  0.431 22.262 -0.374
 0.253  1.711  0.203  2.182  0.126   3.573 -0.946  0.146 21.796  1.049
-0.839  0.108  0.410  2.347  0.339   3.464  0.665 -0.077 20.929 -0.114
-0.248 -0.066  0.477  3.570  4.210   2.421 -0.368  0.129 22.797  0.633
 0.570  0.647  0.001 -1.310 -1.535  -9.271  0.990  0.059 21.169  0.841
-0.040  1.418 -0.086  6.204  2.433  19.708  1.114  0.243 20.234  0.204
 1.004  0.561  0.024 -7.941  2.697 -15.014 -0.757 -0.038 22.281  0.409
-0.057  0.130  0.143  1.636 -0.041   5.933  1.118  0.118 21.781  0.343
 1.390  0.538  0.204 -4.076  4.931  -9.184  2.354  0.075 19.700  1.438
 0.344  0.318  0.556 -4.776  0.750 -15.516 -0.473  0.053 21.050  0.515
-0.444 -0.345  0.485 -3.866 -2.008  -5.276 -0.846  0.094 22.376  0.361
-0.347 -0.373  0.326  2.689  1.548   1.270  2.092  0.073 19.966 -0.080
 0.653  0.128  0.265 -4.449 -0.019  -7.936  0.702  0.198 21.824  1.708
 0.728  0.625  0.404 -4.409 -1.175 -17.495 -0.482  0.097 21.560  0.695
 0.529 -0.510  0.421  1.869 -0.613   2.364 -0.406 -0.043 21.028  1.061
 0.569  0.291  0.152 -4.577 -0.152 -18.030  1.680 -0.005 21.707  0.386
-0.430  0.464  0.567 -0.581  0.524  -3.602  0.320 -0.035 22.742 -0.131
-0.243 -0.838  0.240  6.928  2.375  12.134  1.259  0.221 21.797  0.124
 0.196 -0.023 -0.258 -0.202  2.475  -0.415  1.897  0.093 20.230  0.658
-0.770  0.605  0.260  3.280 -2.241  15.331  0.647 -0.102 20.728  0.254
-0.018 -0.036  0.148  0.858 -0.811  -1.845  1.130  0.267 21.709 -0.116
